City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
279,santa,44,PH,1518560938,85,17.49,120.43,62.99,3.04
280,trairi,12,BR,1518560467,100,-3.28,-39.27,79.28,5.73
281,tasiilaq,88,GL,1518558600,86,65.61,-37.64,28.4,27.51
282,college,90,US,1518559080,86,64.86,-147.8,28.4,13.87
283,dzhebariki-khaya,44,RU,1518561174,68,62.22,135.8,-36.2,2.51
284,menzelinsk,0,RU,1518559200,77,55.73,53.11,5.0,4.47
285,kodinsk,76,RU,1518561175,74,58.6,99.18,0.08,3.74
286,billings,20,US,1518558780,47,45.79,-108.5,37.4,21.92
287,saint-pierre,90,FR,1518559200,74,48.95,4.24,33.8,10.29
288,salekhard,88,RU,1518561177,79,66.54,66.62,-4.07,4.74
289,zhigansk,56,RU,1518560793,79,66.77,123.37,-12.57,5.73
290,mitchell,1,US,1518558780,63,43.71,-98.03,30.2,9.17
291,buriti dos lopes,75,BR,1518558300,83,-3.18,-41.87,80.6,5.82
292,sao joao da barra,40,BR,1518555600,69,-21.64,-41.05,82.4,14.99
293,ketchikan,90,US,1518558960,80,55.34,-131.65,42.8,4.7
294,vestmannaeyjar,76,IS,1518560366,99,63.44,-20.27,34.73,16.13
295,faya,0,SA,1518555600,48,18.39,42.45,62.6,3.36
296,torbay,75,CA,1518559200,47,47.66,-52.73,15.8,19.46
297,touros,24,BR,1518560655,88,-5.2,-35.46,80.18,5.73
298,coquimbo,20,CL,1518555600,68,-29.95,-71.34,68.0,11.41
299,tshikapa,32,CD,1518561181,99,-6.42,20.79,72.39,2.39
300,barra do pirai,90,BR,1518559200,94,-22.47,-43.83,78.8,10.29
301,lavrentiya,92,RU,1518560467,98,65.58,-170.99,29.92,27.76
302,hearst,88,CA,1518561183,67,49.69,-83.67,24.83,16.26
303,nemuro,0,JP,1518560290,100,43.32,145.57,24.88,26.19
304,patacamaya,56,BO,1518561183,96,-17.23,-67.92,47.64,3.4
305,brae,0,GB,1518558600,74,60.4,-1.35,39.2,18.34
306,jumla,0,NP,1518561184,81,29.28,82.18,12.59,2.95
307,geraldton,90,CA,1518559200,67,49.72,-86.95,19.4,18.34
308,townsville,20,AU,1518559200,79,-19.26,146.82,84.2,4.7
309,chapais,90,CA,1518559200,60,49.78,-74.86,10.4,17.22
310,ushumun,0,RU,1518561185,71,52.78,126.54,-2.72,6.87
311,madang,80,PG,1518560774,100,-5.21,145.81,75.28,4.38
312,west wendover,1,US,1518558960,44,40.74,-114.07,39.2,6.93
313,aykhal,36,RU,1518560626,65,65.95,111.51,-9.87,8.19
314,donskoye,90,RU,1518559200,95,45.45,41.98,32.0,2.24
315,castro,0,CL,1518560409,59,-42.48,-73.76,70.06,2.71
316,piedecuesta,40,CO,1518559200,65,6.99,-73.05,77.0,10.29
317,houma,80,CN,1518561187,68,35.63,111.36,22.58,2.06
318,port hedland,40,AU,1518557400,83,-20.31,118.58,84.2,5.82
319,shamary,32,RU,1518561188,62,57.34,58.22,-7.85,2.95
320,kiruna,90,SE,1518558600,92,67.86,20.23,21.2,6.93
321,jucuaran,88,SV,1518561189,72,13.25,-88.25,86.39,18.84
322,khorixas,0,NA,1518560945,57,-20.37,14.96,70.64,4.38
323,srikakulam,8,IN,1518561047,100,18.29,83.89,74.33,10.45
324,high level,90,CA,1518559200,74,58.52,-117.13,30.2,8.05
325,lata,0,IN,1518560657,74,30.78,78.62,28.39,2.71
326,kununurra,80,AU,1518557400,83,-15.77,128.74,78.8,1.12
327,kawalu,56,ID,1518561191,97,-7.38,108.21,67.94,2.39
328,clyde river,1,CA,1518555600,59,70.47,-68.59,-32.81,5.82
329,husavik,68,CA,1518560677,70,50.56,-96.99,20.92,19.26
330,natal,20,BR,1518559200,83,-5.81,-35.21,80.6,8.05
